admin.changeencryptkey.BePatient,"Please be patient, as we may have to update many thousands of records in your database. Do not cancel this operation or navigate away from this page until the process has completed.",1
admin.changeencryptkey.DecryptKeyAtLeast,Your 'Decryption Key' must be EXACTLY twenty-four (24) alphanumeric characters in length.,1
admin.changeencryptkey.Done,Done!,1
admin.changeencryptkey.Explanation,"To be PCI compliant, you must create an encrypt key with two people each specifying a different part of the key and then encrypt your web.config. Your primary and secondary encrypt keys combined should be at least eight (8), and at most fifty (50), alphanumeric characters long. The secondary encryption key is optional but required to be PCI compliant.",1
admin.changeencryptkey.MachineKeyDescription,"Your Machine Key is made up of two separate keys; a 'Validation Key' and a 'Decryption Key'. The 'Validation Key' must be AT LEAST thirty-two (32), and AT MOST sixty-four (64), alphanumeric characters in length. The `Decryption Key` must be EXACTLY twenty-four (24) alphanumeric characters in length.",1
admin.changeencryptkey.MachineKeyLogout,(NOTE: Changing your Machine Key will end ALL sessions (both Customer and Admin) - you will be redirected to the login page once this operation executes.),1
admin.changeencryptkey.Manual,Manual,1
admin.changeencryptkey.Recommendation,We recommend that you change your encrypt key at least every 90 days.,1
admin.changeencryptkey.RequireCreditCardStorage,You are using Recurring Billing products that require Credit Card storage in the Database:,1
admin.changeencryptkey.StoringCreditCards,You Are Storing Credit Cards:,1
admin.changeencryptkey.ValidationKeyAtLeast,"Your 'Validation Key` must be AT LEAST thirty-two (32), and AT MOST sixty-four (64), alphanumeric characters in length.",1
admin.common.Active,Active,1
admin.common.Add,Add,1
admin.common.AddNew,Create,1
admin.common.Address,Address,1
admin.common.affiliate,Affiliate,1
admin.common.All,All,1
admin.common.AllLocalesUC,All Locales,1
admin.common.Amount,Amount,1
admin.common.AppConfig,Setting,1
admin.common.AppConfigs,Settings,1
admin.common.applyfilter,Apply Filter,1
admin.common.AssemblyInfo,Assembly Information,1
admin.common.Back,Back,1
admin.common.BackupDBBeforeImports,"You will have a chance to review the import before accepting it, but it is important to back up your site's database before proceeding.  If possible, test your import document on a separate test site before running it on your live site.",1
admin.common.breadcrumbseparator,&rsaquo;,1
admin.common.Cancel,Cancel,1
admin.common.CapsDisable,DISABLE,1
admin.common.CapsEnable,ENABLE,1
admin.common.Category,Category,1
admin.common.clearfilter,Clear Filter,1
admin.common.ClickHere,Click Here,1
admin.common.ClickHereToAcceptImportUC,CLICK HERE TO ACCEPT IMPORT,1
admin.common.Clickheretodeleteimage,{0}Click here{1} to delete the current image,1
admin.common.ClickHereToUndoImportUC,CLICK HERE TO UNDO THE IMPORT,1
admin.common.Clone,Clone,1
admin.common.Close,Close,1
admin.common.Color,Color,1
admin.common.CommaDelimitedFilesPrompt,"Please submit only XML, XLS (Excel), or CSV (comma delimited) files.",1
admin.common.ConfigurationInfo,Configuration Information,1
admin.common.ConfirmDeletion,Confirm Delete?,1
admin.common.ConfirmUnDeletion,Confirm UnDelete?,1
admin.common.Contact,Contact Info,1
admin.common.Copy,Copy,1
admin.common.Cost,Cost,1
admin.common.CouldNotBeDeleted,Cart Upsell could not be deleted.,1
admin.common.Count,Count,1
admin.common.Country,Country,1
admin.common.CreditCard,Credit Card,1
admin.common.CstMsg9,This customer has active recurring (auto-ship) orders.,1
admin.common.Customer,Customer,1
admin.common.CustomerID,Customer ID,1
admin.common.CustomerLevel,Customer Level,1
admin.common.CustomerLevels,Customer Levels,1
admin.common.ddNone, --NONE--,1
admin.common.Debug,Debug,1
admin.common.Delete,Delete,1
admin.common.Deleted,Deleted,1
admin.common.DeleteNA,Delete n/a,1
admin.common.DeleteNAInfoRecurring,This product can not be deleted because it is part of at least one active recurring order.,1
admin.common.DepthError,"Depth must be in Decimal Format, such as 1 or 12.75<br />",1
admin.common.DepthInfo,Dimensions (Width x Height x Depth):,1
admin.common.Description,Description,1
admin.common.DisplayOrder,Display Order:,1
admin.common.DisplayOrderHeader,Display Order,1
admin.common.Distributor,Distributor,1
admin.common.DownloadFile,Download File,1
admin.common.E-Mail,E-Mail,1
admin.common.Edit,Edit,1
admin.common.editproduct,Edit Product,1
admin.common.Email,E-Mail,1
admin.common.EmptyDataTemplate.NoLowStockItemsFound,No Low Stock Items Found,1
admin.common.EmptyDataTemplate.NoResults,No results found. Please try different filter settings.,1
admin.common.EmptyDataTemplate.NoShippingMethodsFound,No shipping methods found.,1
admin.common.EmptyDataTemplate.NoShippingMethodsRealtime,No methods found. Realtime methods are created the first time you run through checkout.,1
admin.common.EnterDisplayOrder,Enter Display Order,1
admin.common.ErrDeleteDB,Couldn't delete from database: {0},1
admin.common.ErrUpdateDB,Couldn't update database: {0},1
admin.common.ExpiresOn,Expires On,1
admin.common.Export,Export,1
admin.common.ExportResults,Export Results,1
admin.common.ExportToExcel,Export to Excel,1
admin.common.FieldRequiredToLeft,Required,1
admin.common.FileContentsWereEmpty,The file contents were empty.,1
admin.common.FileInfo,File Information,1
admin.common.FileUploadedPleaseReviewBelow,"File Uploaded, please review below.",1
admin.common.FillinDescription,Fill in Description,1
admin.common.FillinEndDate,Fill in End Date,1
admin.common.FillinExpirationDate,Fill in Expiration Date,1
admin.common.FillinName,Fill in Name,1
admin.common.FillinShippedDate,Fill in Shipped Date,1
admin.common.FillinStartDate,Fill in Start Date,1
admin.common.FillOutNamePrompt,Please fill out the Name,1
admin.common.FilterLabel,Filter,1
admin.common.FirstName,First Name,1
admin.common.FixedAmount,Fixed Amount,1
admin.common.Go,Go,1
admin.common.HasBeenDeleted,has been deleted.,1
admin.common.HasBeenPublished,has been published,1
admin.common.HasBeenRestored,has been restored.,1
admin.common.HasBeenUnPublished,has been unpublished,1
admin.common.HeightError,"Height must be in Decimal Format, such as 1 or 12.75<br />",1
admin.common.Icon,Icon,1
admin.common.ID,ID,1
admin.common.Import,Import,1
admin.common.ImportAcceptedUC,IMPORT ACCEPTED,1
admin.common.ImportExcession,Maximum number of allowed products exceeded. ,1
admin.common.ImportHasBeenUndone,IMPORT HAS BEEN UNDONE,1
admin.common.Info,Info.,1
admin.common.InfoType,Info. Type,1
admin.common.InsufficientPermissions,INSUFFICIENT PERMISSIONS!,1
admin.common.IntegerInvalid,Please enter a valid integer,1
admin.common.InvalidParameters,Invalid Parameters,1
admin.common.InvalidPercent,Invalid Percent,1
admin.common.Inventory,Inventory,1
admin.common.IsDefault,Is Default,1
admin.common.IsDefaultVariant,Is Default Variant,1
admin.common.IsShipSeparately,Ship Separately,1
admin.common.ItemDeleted,Item Deleted,1
admin.common.ItemUpdated,Item Updated,1
admin.common.LastName,Last Name,1
admin.common.Loading,Loading...,1
admin.common.Locale,Locale,1
admin.common.Manufacturer,Manufacturer,1
admin.common.MatchingOrders,Matching Orders,1
admin.common.MaximumInventory,Maximum Inventory,1
admin.common.MaximumPrice,Maximum Price,1
admin.common.MaximumSalePrice,Maximum Sale Price,1
admin.common.MaximumWeight,Maximum Weight,1
admin.common.MinimumInventory,Minimum Inventory,1
admin.common.MinimumPrice,Minimum Price,1
admin.common.MinimumSalePrice,Minimum Sale Price,1
admin.common.MinimumWeight,Minimum Weight,1
admin.common.MSRP,MSRP,1
admin.common.NA,N/A,1
admin.common.Name,Name,1
admin.common.NeedUpgrade,"To add additional entities, please delete some entities or upgrade to a non-Express license.",1
admin.common.No,No,1
admin.common.NoDatatoimport,No data to import,1
admin.common.NoDownloadProductsFound,No Download Products Found,1
admin.common.None,None,1
admin.common.NoOrdersFound,No Orders Found!,1
admin.common.NoProductsFound,No Products Found,1
admin.common.NothingToPrint,Nothing To Print,1
admin.common.Notification.UnAuthorized,You are not allowed to view this page because of insufficient authority associated with your account.,1
admin.common.Off,Off,1
admin.common.OffUC,OFF,1
admin.common.On,On,1
admin.common.OnUC,ON,1
admin.common.Or,OR,1
admin.common.Order,Order,1
admin.common.OrderDate,Order Date,1
admin.common.OrderNotFoundUC,ORDER NOT FOUND,1
admin.common.OrderNumber,Order Number,1
